,Country_Name,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried","Automated teller machines (ATMs) (per 100,000 adults)","Cost to import, border compliance (US$)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)",Population growth (annual %),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People_practicing_open_defecation_percent_of_population_2017,Covid_Deaths_as_of_2_16_2021,Covid_Cases_as_of_2_16_2021,Covid_Recoviers_as_of_2_16_2021
133,Nicaragua,88.07795715,,,22.16,399.8,74.275,1.5334,1.255357967,5.18,6.50298591,172,6398,4225
134,Niger,17.6,,,1.66,461.5,62.024,,3.816869199,0.67,67.84907346,169,4706,4164
135,Nigeria,56.5,19.79297207,7786143.994,16.93,1076.8,54.332,1.1792,2.586545852,10.84,19.80431635,1777,148296,124483
136,North Macedonia,100,,,59.81,150,75.688,,0.046194989,6.16,0.684482377,3003,97456,88301
137,Norway,100,,,34.48,125,82.75853659,18.2248,0.660090844,7.41,0,593,67140,17998
138,Oman,100,510.425983,10438241,35.13,393.6,77.633,4.1965,3.445117966,0.78,0,1544,137929,129543
139,Pakistan,71.0915467,217.534134,6880637,10.45,287,67.114,0.6683,2.05587987,0.34,10.4293643,12436,565989,528545
140,Panama,100,64.710714,12631703,69.95,490,78.329,3.0741,1.69258055,7.98,4.420210119,5655,333251,314797
141,Papua New Guinea,58.96735764,31.036317,1831903,8.18,790,64.263,0.4548,1.974760178,1.39,14.46892855,10,955,846
142,Paraguay,100,1.970266,710407,29.2,500,74.131,1.6604,1.287844517,7.58,0.661792127,2971,146216,122493
143,Peru,95.2,313.2646412,17758527.27,112.65,700,76.516,2.4398,1.718246517,6.38,6.529473689,43880,1238501,1149367
144,Philippines,94.85723114,835.904513,43080118,28.9,689.5,71.095,4.9351,1.39613428,6.86,5.086061058,11524,552246,511796
145,Poland,100,271.488,9277538,70.94,0,77.60243902,6.8926,-0.000200133,11.71,0,41028,1596673,1352443
146,Portugal,100,454.209368,17367956,165.77,0,81.32439024,,-0.160104021,12.03,0,15522,788561,677719
147,Puerto Rico,100,,,,385.7,79.77819512,,-4.048391034,,0,0,3,0
148,Qatar,100,12666.7094,29178923,55.55,557.8,80.1,7.2628,2.068684466,1.59,0,256,158138,148677
149,Romania,100,2.71,4908235,64.71,0,75.35853659,,-0.587536174,11.74,0,19526,765970,711977
150,Russian Federation,100,6810.61016,99327311,161.11,520,72.65731707,,-0.013066892,11.19,0,79659,4053535,3584477
151,Rwanda,34.71657181,0,1502478,5.19,282.1,68.7,1.2044,2.644008891,8.95,2.1901181,240,17594,15475
152,Samoa,100,0,77811,53.73,900,73.187,2.4885,0.397464519,2.66,0.104138622,0,3,2
153,San Marino,100,,,191.64,50,,,0.337998424,,0,72,3352,3009
154,Sao Tome and Principe,71,0.561943,36660,26.38,406,70.17,1.9242,1.884217354,5.88,47.43381715,19,1520,1125
155,Saudi Arabia,100,1085.47,39767648,73.97,778.8,74.998,5.4763,1.7988753,0.19,0,6441,373368,364297
156,Senegal,66.95944977,0,278438.2886,5.53,701.7,67.665,,2.78193167,0.76,13.7544298,760,31476,25685
157,Serbia,100,17.7117,2262703,48.38,52,75.8902439,,-0.546351969,8.75,0.0771015,4261,424020,15564
158,Seychelles,100,7.793,455201,83.91,340.6,72.84146341,,0.954291918,20.5,0,10,2058,1591
159,Sierra Leone,26.1,,,,821,54.309,,2.136648208,5.7,17.62233197,79,3825,2583
160,Singapore,100,6947.435328,40401515,64.59,220,83.14634146,,0.469704299,2.03,0,29,59810,59661
161,Slovak Republic,100,,,61.86,0,77.26585366,,0.13850816,11.14,0,6063,279696,255300
162,Slovenia,100,0.54284,1094762,89.65,0,81.37804878,,0.362584395,11.9,0,3733,180520,164676
163,Solomon Islands,66.66609955,3.842515754,427806,,740,72.835,2.1642,2.610133776,1.83,53.68984291,0,18,14
164,Somalia,35.25553513,0,33728.96866,,952,57.068,,2.831767652,0.009,27.52715847,163,5373,3750
165,South Africa,91.22987366,696.730006,24660386,66.95,676,63.857,,1.357697288,9.52,1.445457025,48313,1494119,1396951
166,South Sudan,28.20185661,,,0.49,781.3,57.604,,0.59544157,,62.81587031,79,5710,3876
167,Spain,100,1118.73285,80706703,108.5,0,83.43170732,,0.437982994,12.72,0,65979,3096343,150376
168,Sri Lanka,99.58340454,436.198,5882376,,299.7,76.812,2.1803,1.048392958,4.1,0.559471729,409,77184,70429
169,St. Kitts and Nevis,100,,,94.28,310.7,,,0.76957326,8.94,,0,41,39
170,St. Lucia,99.53749847,,,42.51,842.1,76.057,,0.514822934,10.6,0.797060707,23,2549,1849
171,St. Vincent and the Grenadines,100,,,35.14,540,72.415,7.0145,0.348123622,9.06,3.358785211,6,1457,612
172,Sudan,59.783535,0.85847,561520,6.42,1092.5,65.095,,2.392265265,0.51,24.31262369,1863,30052,22523
173,Suriname,97.4,33.201,272347,48.15,658,71.57,2.7569,0.957016885,5.33,2.810799172,167,8820,8264
174,Sweden,100,,,31.86,0,82.55853659,,1.16164516,8.93,0,12487,617869,4971
175,Switzerland,100,1841.314,28857994,99.2,115,83.75365854,,0.736633975,11.53,0,9817,544282,317600
176,Syrian Arab Republic,86,0.025638622,17896.92117,,827.8,71.779,,-0.952015452,0.24,,984,14951,8826
177,Tajikistan,99.3,2.337,492320,,223.3,70.879,,2.453465059,3.28,0.065922926,90,13308,13218
178,Tanzania,35.55897903,0.487269,1698386,,1350,65.015,,2.981674115,11.27,11.74872457,21,509,183
179,Thailand,100,2666.263256,76053042.75,117.5,232.5,76.931,2.7593,0.315448259,8.3,0,82,24786,23563
180,Timor-Leste,85.59183502,,,11.66,410,69.26,1.668,1.96810074,2.17,19.51503967,0,102,62
181,Togo,51.34528351,10.89276,566295,6.14,611.7,60.76,0.4102,2.445904207,2.46,47.69035259,81,5953,5094
182,Trinidad and Tobago,100,41.138,2458183,43.04,635,73.38,4.0934,0.417170469,6.72,0.074161392,138,7656,7362
183,Tunisia,99.8,13.234265,4274199,30.72,596.2,76.505,,1.145827766,2.12,0,7617,224329,184499
184,Turkey,100,5949.212206,115595495.8,83.74,46,77.437,,1.490444868,2.05,0.316782493,27652,2602034,2489624
185,Uganda,42.65,0,21212,4.15,446.7,62.973,1.2382,3.7213873,15.09,5.623666224,331,40063,14545
186,Ukraine,100,75.26435,7854842,97.39,100,71.58268293,,-0.466425621,8.32,0.001182846,25862,1322406,1163154
187,United Arab Emirates,100,15962.90443,95758342,64.48,677.8,77.814,5.7271,1.50389676,3.9,0.0587,1041,355131,340365
188,United Kingdom,100,6198.37,165388610,115.44,0,81.25609756,8.1723,0.605929132,11.45,0,118421,4070336,11022
189,United States,100,42985.2996,889024000,,175,78.53902439,,0.522337358,9.87,0,488081,27756624,6399531
190,Uruguay,100,,,120.07,500,77.77,,0.367502623,6.92,0.39860111,546,49725,44060
191,Uzbekistan,100,89.43028,3056558,28.04,277.9,71.573,,1.736986377,2.59,0,622,79461,77969
192,Vanuatu,61.86476898,1.663,374603,48.05,680.6,70.323,1.4247,2.480280726,2.25,0.550824958,0,1,1
193,"Venezuela, RB",100,0,2217407,,1500,72.128,0.9416,-1.785864856,4.14,3.023846459,1292,133927,125924
194,Vietnam,100,762.66195,47049671,25.32,373,75.317,,0.992716375,8.66,2.989243724,35,2311,1573
195,West Bank and Gaza,100,,,24.74,50,73.895,,2.533011484,,0.163597726,1942,169512,157982
196,"Yemen, Rep.",62,3.27,336310,,,66.096,0.7852,2.357022518,0.051,19.57347909,618,2148,1431
197,Zambia,39.81262207,75.07739773,16633.13894,11.55,380,63.51,1.3376,2.912801004,6.54,19.302868,974,70823,63609
198,Zimbabwe,41.04158401,0.665035317,282539,6.63,561.7,61.195,1.9346,1.410782722,4.67,24.93072333,1414,35315,30979
